"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Belgium","BEL","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","70.0699996948242","70.4800033569336","71.0599975585938","71.1999969482422","71.5699996948242","73.379997253418","75.0400009155273","76.5800018310547","77.7699966430664","78.870002746582","79.879997253418","81.0599975585938","81.7099990844727","78.870002746582","79.4599990844727","80.2399978637695","80.1800003051758","80.2600021362305","80.9800033569336","81.4300003051758","81.8399963378906","82.9400024414063","82.0299987792969","83.9000015258789","83.629997253418","84.3499984741211","84.5699996948242","84.6800003051758","85.6699981689453","86.5800018310547","87.1399993896484","87.2399978637695","86.4199981689453","87.3300018310547","87.5500030517578","87.1600036621094","87.9400024414063","87.6399993896484","88.6500015258789","89.2699966430664","89","89.4100036621094","90.6500015258789","90.5699996948242","90.8300018310547","90.8899993896484","",
"Benin","BEN","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.6800003051758","","","","","","",
"Burkina Faso","BFA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6999998092651","","","","","","","","","","",
"Bangladesh","BGD","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.1499996185303","20.2600002288818","15.8900003433228","","","2.04999995231628","","2.0699999332428","","","","","11.0299997329712","","","","12.1400003433228","","","22.9599990844727","","19.3600006103516","","","","","21.8999996185303","","","","","","",
"Bulgaria","BGR","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7799987792969","63.939998626709","62.9700012207031","63.5999984741211","63.0200004577637","64.25","65.8099975585938","65.8000030517578","65.4899978637695","67.7399978637695","70.7099990844727","71.2799987792969","70.620002746582","71.7200012207031","72.2200012207031","72.9199981689453","",
"Bahrain","BHR","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","86.4000015258789","","93.2399978637695","92.8099975585938","","","","","","","","","92.2699966430664","","","","","","","","","","86","","","","","","","","","89.75","","","","","","",
"Bahamas, The","BHS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","93.4700012207031","","","","","","","","","","","91.3499984741211","","","90.25","","93.0500030517578","93.0500030517578","93.3399963378906","92.5100021362305","93.2799987792969","92.7200012207031","92.3600006103516","93.2300033569336","93.3300018310547","","92.1600036621094","93.4000015258789","93.6900024414063","94.3600006103516","94.3099975585938","94.1100006103516","94.1800003051758","94.7399978637695","95.4800033569336","","93.7399978637695","","","","","",
"Bosnia and Herzegovina","BIH","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.4300003051758","46.2400016784668","",
"Belarus","BLR","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5299987792969","","","","","","","",
"Belize","BLZ","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.0400009155273","84.5800018310547","84.5699996948242","84.7200012207031","78.75","83.7900009155273","82.8199996948242","","","","","","86.2200012207031","","","","","","","","","","85.7200012207031","",
"Bermuda","BMU","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8099975585938","","","","","","","","","96.5100021362305","96.4300003051758","","","","","","",
"Bolivia","BOL","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","54.2799987792969","54.2700004577637","53.2200012207031","53","53.0200004577637","53.6500015258789","57","55.7099990844727","56.5299987792969","56.7000007629395","59.2299995422363","59.9000015258789","59.9900016784668","86.9400024414063","87.9700012207031","83.9700012207031","82.5100021362305","84.0999984741211","83.5299987792969","82.7399978637695","80.2200012207031","79.1999969482422","","48.5099983215332","52.7000007629395","48.3499984741211","49.9700012207031","","54.25","50.0499992370605","50.4700012207031","52.5099983215332","","","","59.0299987792969","","60.2400016784668","58.7599983215332","","",
"Brazil","BRA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","67.2699966430664","67.8499984741211","67.0899963378906","69.129997253418","69.0899963378906","70.8899993896484","71.4800033569336","72.5999984741211","72.379997253418","73.8499984741211","","65.2099990844727","65.4300003051758","","68.1900024414063","70.7099990844727","70.2600021362305","71.0500030517578","70.0599975585938","76.0899963378906","73.9400024414063","70.75","71.0800018310547","70.9899978637695","70.6399993896484","71.9199981689453","72.8399963378906","","74.5999984741211","","76.9499969482422","77.4899978637695","77.8499984741211","77.4899978637695","","",
"Barbados","BRB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","71.6999969482422","68.7300033569336","77.9300003051758","","","72.4300003051758","72.75","73.4300003051758","73.1800003051758","75.5599975585938","76.0599975585938","77.1399993896484","77.9700012207031","67.5599975585938","69.4700012207031","72.5699996948242","72.5400009155273","71.7200012207031","72.3399963378906","70.8300018310547","69.0299987792969","73.0400009155273","70.7099990844727","73.0999984741211","72.620002746582","73.3399963378906","73.7300033569336","74.6800003051758","78.2099990844727","","","","","","89.1699981689453","87.0999984741211","88.0999984741211","88.2099990844727","84.3399963378906","88.1800003051758","",
"Brunei Darussalam","BRN","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4499969482422","","","","","","","","","","88.4199981689453","","","","","","","","","","","","","88.5","","",
"Bhutan","BTN","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5799999237061","","","","18.8299999237061","28.1299991607666","23.6499996185303","17.6900005340576","24.1599998474121","25.3799991607666","25.1299991607666","",
"Botswana","BWA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","35.5900001525879","","","","","","","","","","","69.4400024414063","","69.5800018310547","","67.4100036621094","75.8000030517578","","70.5599975585938","","","64.9400024414063","","","","68.379997253418","","","","","","",
"Central African Republic","CAF","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","79.0199966430664","80.3499984741211","80.3099975585938","80.0699996948242","80.4499969482422","80.3199996948242","81.1900024414063","","","","","","","","","","","","84.5800018310547","84.4300003051758","84.6500015258789","85.0999984741211","85.75","86.0299987792969","86.6900024414063","86.7799987792969","86.5899963378906","86.7799987792969","86.5100021362305","86.4700012207031","86.5400009155273","86.870002746582","87.3199996948242","87.1100006103516","87.3199996948242","87.370002746582","87.8099975585938","88.120002746582","88.4499969482422","89.0500030517578","89.8300018310547","90.3099975585938","89.8899993896484","89.8600006103516","90.1600036621094","90.3199996948242","90.4199981689453","90.4199981689453",
"Central Europe and the Baltics","CEB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.5621042200676","51.6449932434102","53.6196370272042","","","","56.9720242915391","56.9655109399987","59.2689858913557","60.4829230904234","61.7841942026071","62.8835819548257","63.965516349271","64.7250542078385","65.440988380846","67.2490456776984","68.2982230598232","68.5684569116759","69.1297662858082","69.9347663899548","70.1055720787373","71.0104327329023","",
"Switzerland","CHE","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","62.2999992370605","63.439998626709","64.4400024414063","64.9000015258789","66.8199996948242","67.7699966430664","68.2900009155273","68.8399963378906","71.4100036621094","71.870002746582","72.0599975585938","73.0199966430664","74.0800018310547","74.5999984741211","74.5","75.0199966430664","76","76.9100036621094","77.5100021362305","78.1800003051758","79","81.0899963378906","81.2600021362305","80.5899963378906","80.9199981689453","78.1800003051758","79.370002746582","79.629997253418","80.3300018310547","80.4800033569336","83.9000015258789","84.0400009155273","84.8899993896484","85.3000030517578","85.75","85.6600036621094","86.0299987792969","78.0999984741211","81.3499984741211","82.1600036621094","82.620002746582","83.3899993896484","83.6600036621094","83.7900009155273","84.8300018310547","85.5",
