"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Belgium","BEL","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","26.4699993133545","26.4799995422363","26.1499996185303","26.1100006103516","25.8600006103516","24.0499992370605","22.6200008392334","21.2600002288818","20.0699996948242","18.8500003814697","18.1599998474121","17.0200004577637","16.3500003814697","18.2600002288818","17.4300003051758","16.6599998474121","17.1599998474121","17.2800006866455","16.7600002288818","16.1700000762939","15.8999996185303","14.8400001525879","15.4799995422363","14.1300001144409","14.1899995803833","13.5699996948242","13.2700004577637","13.2399997711182","12.7600002288818","11.4300003051758","11.6700000762939","11.8100004196167","12.4799995422363","11.6099996566772","10.8699998855591","11.3500003814697","10.7700004577637","11.039999961853","10.3100004196167","9.73999977111816","10.1000003814697","9.69999980926514","8.64999961853027","8.59000015258789","8.32999992370605","8.38000011444092","",
"Benin","BEN","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.21999979019165","","","","","","",
"Burkina Faso","BFA","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01000022888184","","","","","","","","","","",
"Bangladesh","BGD","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","29.1100006103516","26.6599998474121","35.75","","","21.8899993896484","","8.76000022888184","","","","","7.65000009536743","","","","8.97999954223633","","","18.4200000762939","","12.5200004577637","","","","","13.3299999237061","","","","","","",
"Bulgaria","BGR","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1800003051758","28.8199996948242","28.7800006866455","27.9699993133545","28.4799995422363","28.8500003814697","28.0599994659424","28.5200004577637","28.6900005340576","26.8899993896484","24.0799999237061","23.9099998474121","25.0900001525879","23.8400001525879","23.2199993133545","22.75","",
"Bahrain","BHR","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","12","","5.40999984741211","5.23000001907349","","","","","","","","","7.19999980926514","","","","","","","","","","13.3400001525879","","","","","","","","","8.96000003814697","","","","","","",
"Bahamas, The","BHS","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","3.00999999046326","","","","","","","","","","","8.38000011444092","","","5.30999994277954","","5.13000011444092","5.13000011444092","4.82000017166138","5.26999998092651","5.3600001335144","5.71999979019165","5.94999980926514","5.42999982833862","5.42999982833862","","6.13000011444092","4.28999996185303","5.57000017166138","5.15000009536743","5.11999988555908","5.09000015258789","5.40000009536743","4.21000003814697","3.71000003814697","","4.1100001335144","","","","","",
"Bosnia and Herzegovina","BIH","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0499992370605","14.0900001525879","",
"Belarus","BLR","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9599990844727","","","","","","","",
"Belize","BLZ","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.25","11.9200000762939","9.31999969482422","10.289999961853","15.1499996185303","10.8599996566772","11.8999996185303","","","","","","10.3199996948242","","","","","","","","","","8.03999996185303","",
"Bermuda","BMU","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.67000007629395","","","","","","","","","3.22000002861023","3.22000002861023","","","","","","",
"Bolivia","BOL","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","18.6100006103516","18.5200004577637","18.6000003814697","18.7399997711182","18.7999992370605","18.2999992370605","15.9700002670288","15.8999996185303","15.3000001907349","15.0600004196167","12.0299997329712","11.9899997711182","12.0299997329712","11.7700004577637","11.5","15.0500001907349","16.4799995422363","15.1899995803833","15.6199998855591","16.1200008392334","15.7399997711182","16.6299991607666","","11.3400001525879","9.80000019073486","9.10000038146973","10.7799997329712","","11.0799999237061","10.8299999237061","10.0799999237061","9.22999954223633","","","","10.8900003433228","","10.1099996566772","9.76000022888184","","",
"Brazil","BRA","Employment in industry, female (% of female employment)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","12.9700002670288","12.8699998855591","13.6199998855591","11.7700004577637","12.4099998474121","14.3299999237061","13.1300001144409","12.7200002670288","13.6099996566772","12.8199996948242","","10.1000003814697","10.5200004577637","","9.3100004196167","9.59000015258789","9.57999992370605","9.63000011444092","9.5","12.1000003814697","9.92000007629395","12.6800003051758","12.7799997329712","12.9099998474121","13.3000001907349","13.0200004577637","13.1999998092651","","13.1499996185303","","11.7799997329712","12.4700002670288","11.9899997711182","11.8100004196167","","",
